WallTime,Step,Value
1649024053.5250447,52399,1.0
1649024126.4782379,52539,3.0
1649024130.5446374,52547,2.0
1649024178.3365898,52641,2.0
1649024191.1306086,52666,2.0
1649024346.3778424,52967,0.0
1649024396.2341218,53065,2.0
1649024401.830278,53076,0.0
1649024404.8910487,53082,0.0
1649024494.6431692,53254,2.0
1649024514.994784,53294,0.0
1649024678.7913837,53612,1.0
1649024684.3822663,53623,0.0
1649024715.5197916,53683,2.0
1649024788.8203475,53810,0.0
1649024803.047567,53838,1.0
1649024878.1232133,53982,1.0
1649024908.3640695,54041,0.0
1649024962.2713304,54147,0.0
1649025024.286317,54265,1.0
1649025125.7084968,54458,1.0
1649025191.916687,54588,1.0
1649025193.9545581,54592,1.0
1649025200.5578494,54605,1.0
1649025283.0494812,54766,1.0
1649025396.576909,54985,0.0
1649025437.3143654,55065,1.0
1649025444.5044513,55079,3.0
1649025466.9293642,55120,0.0
1649025469.982135,55126,0.0
1649025481.1737878,55148,0.0
1649025485.739062,55157,0.0
1649025538.852911,55261,1.0
1649025547.9961364,55279,1.0
1649025594.736643,55367,2.0
1649025661.8854756,55499,1.0
1649025703.5309916,55580,2.0
1649025705.0539193,55583,2.0
1649025706.5795555,55586,2.0
1649025717.257974,55607,2.0
1649025719.2907195,55611,2.0
1649025728.444152,55629,2.0
1649025743.70637,55659,2.0
1649025775.7726307,55718,1.0
1649025854.8043735,55870,0.0
1649025911.8149166,55982,1.0
1649025926.5592792,56011,2.0
1649025947.420537,56052,3.0
1649025988.1378045,56132,2.0
1649026006.428869,56168,2.0
1649026027.7829814,56210,0.0
1649026062.0622492,56274,2.0
1649026070.2055905,56290,1.0
1649026070.9193854,56291,1.0
1649026085.7627294,56319,2.0
1649026170.0587573,56477,0.0
1649026172.0915427,56481,0.0
1649026175.1429765,56487,3.0
1649026222.9038246,56576,2.0
1649026320.2368448,56761,1.0
1649026335.4844813,56791,1.0
1649026336.5001867,56793,1.0
1649026409.6951323,56932,0.0
1649026423.8649864,56959,0.0
1649026478.246597,57066,2.0
1649026601.1380012,57301,1.0
1649026659.692956,57412,1.0
1649026683.2733326,57451,1.0
1649026700.2763014,57484,1.0
1649026752.586106,57585,3.0
1649026757.668513,57595,3.0
1649026854.3169103,57781,2.0
